CustomerID,Recency,Frequency,Monetary,cluster
000nan,1,1373,1716830.53,1
012346,326,1,77183.6,0
012747,2,11,4196.01,0
012748,1,209,33719.73,1
012749,4,5,4090.88,0
012820,3,4,942.34,0
012821,214,1,92.72,0
012822,71,2,948.88,0
012823,75,5,1759.5,0
012824,60,1,397.12,0
012826,3,7,1474.72,1
012827,6,3,430.15,0
012828,3,6,1018.71,0
012829,337,2,293.0,0
012830,38,6,6814.64,0
012831,262,1,215.05,0
012832,32,2,383.03000000000003,0
012833,145,1,417.38,0
012834,283,1,312.38,0
012836,59,4,2612.86,0
012837,173,1,134.1,0
012838,34,2,683.13,0
012839,3,14,5591.42,1
012840,144,4,2726.77,1
012841,5,25,4022.35,0
012842,70,2,1118.99,0
012843,66,8,1702.26,0
012844,29,2,325.96000000000004,0
012845,267,4,354.09000000000003,0
012847,22,1,871.54,0
012849,31,2,1050.89,0
012851,97,1,135.18,0
012852,295,1,311.55,0
012853,135,6,1957.1000000000001,0
012854,79,3,1324.5,0
012855,373,1,38.1,0
012856,8,6,2179.93,1
012857,211,2,1106.4,0
012863,52,1,521.2,0
012864,138,1,147.12,0
012867,26,7,4036.82,1
012868,186,6,1607.0600000000002,0
012871,84,2,380.64,0
012872,327,2,599.97,0
012873,282,1,374.0,0
012875,143,2,343.2300000000001,0
012877,4,12,1535.77,1
012878,236,2,854.99,0
012879,45,3,573.22,0
012881,276,1,298.0,0
012882,9,2,1463.04,0
012883,25,4,703.47,0
012884,88,1,309.05,0
012885,63,3,1175.22,0
012886,68,2,1378.4,0
012888,214,2,354.12,0
012890,24,1,380.46999999999997,0
012891,186,3,331.0,0
012893,31,1,188.14,0
012895,42,2,372.8,0
012897,205,2,216.5,0
012901,9,28,17654.54,0
012902,265,1,138.68,0
012904,18,2,509.58,0
012906,12,5,2919.81,0
012908,176,2,750.0,0
012909,40,5,2178.67,0
012910,23,8,3075.04,0
012912,3,5,1662.3,0
012913,5,5,2483.63,0
012915,149,2,363.65,0
012916,139,4,3006.15,0
012917,128,1,594.0,0
012919,8,6,1335.19,0
012920,17,1,164.23,0
012921,9,37,16587.09,1
012922,161,1,405.38,0
012923,64,1,176.97,0
012924,88,4,933.7,0
012925,5,2,694.05,0
012928,35,5,2062.7,1
012929,312,1,117.85,0
012930,78,2,415.8,0
012931,22,15,42055.96,0
012933,24,3,607.53,0
012935,2,7,2160.7,0
012936,17,4,1063.9,0
012937,15,4,1504.27,0
012938,26,1,114.14,0
012939,64,8,11581.8,0
012940,55,2,913.54,0
012942,131,3,683.9,0
012944,36,2,604.51,0
012945,288,1,462.95,0
012947,144,6,1603.99,0
012948,16,7,2064.95,0
012949,31,8,4167.22,0
012950,2,3,1843.0,1
012951,9,6,1064.07,0
012952,6,4,1387.79,0
012953,10,1,329.85,0
012955,1,11,4757.16,0
012956,306,1,108.07,0
012957,10,8,4017.54,0
012962,7,2,266.39,0
012963,8,8,1856.63,0
012965,89,1,771.91,0
012966,10,1,160.18,0
012967,358,2,1660.9,0
012968,112,1,135.95,0
012970,7,4,452.24,0
012971,4,86,11189.91,0
012974,198,1,144.8,0
012976,212,1,738.6,0
012977,156,1,39.239999999999995,0
012980,158,9,7374.900000000001,0
012981,30,2,372.21999999999997,0
012982,243,1,390.54,0
012984,19,1,97.5,0
012985,1,2,1239.38,0
012987,74,2,558.7,0
012988,292,1,535.32,0
012989,3,15,6924.11,0
012990,31,3,409.5,0
012991,23,2,503.76,0
012993,23,4,414.76,0
012994,4,3,974.42,0
